,0,T_ref,T_res,abs
1,PCBbat_Zminus,-54.516411392713565,-55.22610548979628,0.7096940970827177
2,PCBbat_Zminus,-54.5572240837667,-55.2661322146279,0.7089081308612037
3,PCBbat_Zminus,-54.558645097984474,-55.2675975882737,0.7089524902892279
4,PCBbat_Zminus,-54.53731912824847,-55.24759128784871,0.7102721596002368
5,PCBbat_Zminus,-54.613349048074724,-55.322565716612814,0.7092166685380903
6,PCBbat_Zminus,-54.60641869740058,-55.31569959103862,0.709280893638045
7,PCBbat_Zminus,-54.53653741928261,-55.24687568558883,0.7103382663062234
8,PCBbat_Zminus,-54.518894119984644,-55.22856200728074,0.7096678872960993
9,BottomPlate,-57.785333458409006,-58.487016608354224,0.7016831499452181
10,BottomPlate,-57.80718051921565,-58.47593750236618,0.66875698315053
11,BottomPlate,-57.677280563550084,-58.32776040809057,0.6504798445404845
12,BottomPlate,-58.1965221460641,-58.87954898320177,0.6830268371376746
13,BottomPlate,-57.97265434727424,-58.63581437643387,0.6631600291596271
14,BottomPlate,-57.686153835586204,-58.3274161987064,0.6412623631201981
15,BottomPlate,-58.8452073841801,-59.53737593071796,0.6921685465378573
16,BottomPlate,-58.217244896187076,-58.88423920211014,0.6669943059230619
17,BottomPlate,-57.848618531816676,-58.50366090882005,0.655042377003376
18,Battery,-60.567662339812756,-61.29558734183041,0.7279250020176562
19,Battery,-58.161956667392865,-58.87348765051209,0.7115309831192249
20,Battery,-58.13114932597215,-58.855110797236904,0.7239614712647509
21,Battery,-56.066391740397854,-56.77552705708311,0.7091353166852556
22,Battery,-59.15555533728761,-59.87323417253677,0.7176788352491599
23,Battery,-54.60899712411276,-55.31824226766034,0.7092451435475766
24,PCBbat_Zplus,-59.937770729248676,-60.659538072629175,0.721767343380499
25,PCBbat_Zplus,-59.934643473673724,-60.65644508500364,0.7218016113299157
26,PCBbat_Zplus,-59.58331110609736,-60.314137225013695,0.7308261189163332
27,PCBbat_Zplus,-59.58711066773427,-60.31789591651045,0.7307852487761792
28,PCBbat_Zplus,-59.59395610767066,-60.32996341420312,0.7360073065324642
29,PCBbat_Zplus,-59.59286563037887,-60.32888193592402,0.7360163055451494
30,PCBbat_Zplus,-60.422733384662344,-61.14539407090419,0.722660686241845
31,PCBbat_Zplus,-60.42155960407669,-61.14422860542808,0.7226690013513917
32,PCBbat_Zplus,-59.60036926607719,-60.341561940072836,0.7411926739956485
33,PCBbat_Zplus,-59.601466942996275,-60.34269136694991,0.7412244239536321
34,PCBbat_Zplus,-60.25632210783015,-60.98869627917915,0.7323741713490008
35,PCBbat_Zplus,-60.255218680439434,-60.98759406770483,0.7323753872653995
36,PCBbat_Zplus,-60.905709583386475,-61.629276287276696,0.7235667038902207
37,PCBbat_Zplus,-60.911913352108144,-61.635438526759174,0.7235251746510301
38,PCBbat_Zplus,-59.76209245885269,-60.48836988095982,0.7262774221071311
39,PCBbat_Zplus,-59.76098756165836,-60.487269964646174,0.7262824029878132
40,RW_Z,-60.412736043678414,-61.135465355480704,0.7227293118022899
41,RW_Z,-60.41274789574811,-61.13547715218161,0.722729256433496
42,RW_Z,-60.413137838722584,-61.135864475452735,0.722726636730151
43,RW_Z,-60.41274475781455,-61.13547405328049,0.722729295465939
44,RW_Z,-60.412499936946055,-61.1352307990104,0.7227308620643456
45,RW_Z,-60.412765070877725,-61.13549424565451,0.7227291747767879
46,PCB,-52.412580554497595,-53.080443044030915,0.6678624895333201
47,PCB,-52.150828788822615,-52.81342489899109,0.6625961101684723
48,PCB,-52.28768038574853,-52.94707904462109,0.6593986588725613
