,0,T_ref,T_res,T_res2
1,Panel_inner: back,86.02711026934742,5.175692229569506,-111.58203065780904
2,Panel_inner:solar_cells,86.04182532415115,5.15343727251576,-111.5909430932233
3,Panel_inner: back,79.12684194963184,21.188164313084314,-106.04923902491515
4,Panel_inner:solar_cells,79.12611935929249,21.2097138031516,-106.04648937138472
5,Panel_inner: back,75.59343257570418,28.27284221611569,-102.47467670189735
6,Panel_inner:solar_cells,75.59345233275599,28.29521722214406,-102.47183714614442
7,Panel_inner: back,73.5816892404502,31.8764704140101,-99.63747152229183
8,Panel_inner:solar_cells,73.58050794659522,31.902458877860113,-99.63099743157633
9,Panel_inner: back,81.24607510529142,18.087999868934446,-108.11251245158513
10,Panel_inner:solar_cells,81.24487470569285,18.107604967238842,-108.10996289160488
11,Panel_inner: back,78.05666820751219,24.375795930100935,-105.26599541178817
12,Panel_inner:solar_cells,78.05615881492156,24.39693063983657,-105.26328237039772
13,Panel_inner: back,75.4462002731035,28.95728241946034,-102.51891385311927
14,Panel_inner:solar_cells,75.44624780460548,28.979380044089112,-102.51610418930508
15,Panel_inner: back,73.97092325568372,31.311100400898795,-100.64328523002735
16,Panel_inner:solar_cells,73.97128036655306,31.333816387259276,-100.64041086109907
17,Panel_inner: back,81.24176327666481,19.334355755711556,-108.1053290202847
18,Panel_inner:solar_cells,81.24056321529787,19.35390016902062,-108.10278136544164
19,Panel_inner: back,78.05433570777433,24.977584310171608,-105.26299803087272
20,Panel_inner:solar_cells,78.05382732195295,24.998751800697562,-105.2602806726681
21,Panel_inner: back,75.44511917056002,29.2025717076707,-102.51804516420705
22,Panel_inner:solar_cells,75.4451671642222,29.22472037689164,-102.51523021331846
23,Panel_inner: back,73.97029905814725,31.405262335085638,-100.64338516877157
24,Panel_inner:solar_cells,73.97065661717289,31.42800830715572,-100.64050773471882
25,Panel_inner: back,86.01126686722695,9.631905804618725,-111.55829160479098
26,Panel_inner:solar_cells,86.02595845192923,9.61711461754652,-111.56718116056658
27,Panel_inner: back,79.12044479866563,22.900260408328734,-106.03838394789665
28,Panel_inner:solar_cells,79.11972420295825,22.921775590670904,-106.03563627123506
29,Panel_inner: back,75.59085391376561,28.929881109491248,-102.46875275939544
30,Panel_inner:solar_cells,75.59087395186003,28.95219468832255,-102.4659194149987
31,Panel_inner: back,73.58034640709327,32.07738515101079,-99.63611955017123
32,Panel_inner:solar_cells,73.5791663164647,32.10305739366663,-99.62965148319014
33,Panel_outer:solar_cells,69.6373192529179,34.04299707302755,-96.15586392133952
34,Panel_outer:back,69.63608701855435,34.019508776171165,-96.15882157428348
35,Panel_outer:solar_cells,69.77129522950213,33.91210625389084,-96.54244896956405
36,Panel_outer:back,69.77008991708482,33.88865632979895,-96.545401783319
37,Panel_outer:solar_cells,70.08666246815176,33.52703635540081,-97.39345616022536
38,Panel_outer:back,70.08552052950256,33.50375984904332,-97.39638736601518
39,Panel_outer:solar_cells,70.74294222088781,32.45148363529114,-99.00252012644307
40,Panel_outer:back,70.74031235062306,32.431465056187164,-99.00185141638886
41,Panel_outer:solar_cells,69.63048289827145,34.058267655543546,-96.13806358577514
42,Panel_outer:back,69.62924925966934,34.03477442522092,-96.14102179739419
43,Panel_outer:solar_cells,69.74688786655453,33.9706831929206,-96.48011028711593
44,Panel_outer:back,69.74567824219076,33.94729497027879,-96.48305638275289
45,Panel_outer:solar_cells,69.98106760489782,33.726322430084224,-97.13927055383789
46,Panel_outer:back,69.97990547880642,33.702990368230644,-97.1422096431742
47,Panel_outer:solar_cells,70.28157210561119,33.35214385453406,-97.92744867528685
48,Panel_outer:back,70.28047104869319,33.329035872889506,-97.93036086282743
