,0,T_ref,T_res
1,SolarArrays,87.0578019460911,95.22267858930144
2,SolarArrays,84.74886376280875,92.1590155845488
3,SolarArrays,83.58187630922845,89.6244042829602
4,SolarArrays,82.9301676763261,87.67979054818687
5,SolarArrays,85.44791029131126,94.43653210559995
6,SolarArrays,84.3882670148285,92.11864525230328
7,SolarArrays,83.52959689321948,89.80104059132952
8,SolarArrays,83.04997164337199,88.27155255188887
9,SolarArrays,85.43709459047307,94.43913125258229
10,SolarArrays,84.38281277256442,92.11186858522717
11,SolarArrays,83.52715742552112,89.79419342629461
12,SolarArrays,83.04880448040802,88.26613396542308
13,SolarArrays,87.01882415559244,95.22050695167025
14,SolarArrays,84.73397800862858,92.16806511245119
15,SolarArrays,83.57604204669876,89.64426813504332
16,SolarArrays,82.9276491780841,87.68701863578809
17,SolarArrays,81.70362575452447,82.68954983173211
18,SolarArrays,81.74418541043269,82.92556529319404
19,SolarArrays,81.84051914041908,83.43477229963725
20,SolarArrays,82.0431042004783,84.31890718621304
21,SolarArrays,81.70152706199451,82.68162827658045
22,SolarArrays,81.73668907106202,82.9046443326157
23,SolarArrays,81.80763614030604,83.30368915789836
24,SolarArrays,81.89959487448493,83.78337120496514
25,SolarArrays,81.70149243825188,82.67855573145101
26,SolarArrays,81.73655064527622,82.89544610561
27,SolarArrays,81.80753474760013,83.30108121069333
28,SolarArrays,81.89937616865741,83.77743384570914
29,SolarArrays,81.70346955554294,82.6798151653008
30,SolarArrays,81.74399763815991,82.91777534645905
31,SolarArrays,81.8401119730472,83.4177730158425
32,SolarArrays,82.04236040531072,84.30830936968329
33,Prop,84.07345185126464,87.89891679745841
34,Prop,84.3001962249146,88.16781473103401
35,Prop,83.94580427145536,87.760878593489
36,Prop,84.40354364060272,88.23138709204858
37,Prop,84.45895156367493,88.30107115087588
38,Prop,84.23706026629672,88.05476130482549
39,Prop,83.98883002122949,87.8110027467128
40,Prop,84.2270671375569,88.09214166355537
41,Prop,83.83637057868646,87.64873712172869
