***************************************************************************
MODEL NAME = PhD_example2
report produced by REPORT_RADIATIVE_MODEL procedure at 1:18 Fri 29 May 2020
***************************************************************************
------------------------------------------------------------------------------------------------------
Model Name = PhD_example2                                                                              
------------------------------------------------------------------------------------------------------
FACE | SUBMODEL | NODE | CRIT | PRIMITIVE NAME | FACE LABEL | TYPE |  INFRA-RED/SOLAR    | FACE AREA  
     |          |      |      |                |            |      | EPSI RHOD RHOS TAU  |            
     |          |      |      |                |            |      | ALPH RHOD RHOS TAU  |            
------------------------------------------------------------------------------------------------------
1    |          | 1    | N    | pcb            |            | RECT | .900 .100 .000 .000 | 1.8062E-003
     |          |      |      |                |            |      | .900 .100 .000 .000 |            
2    |          | 1    | N    | pcb            |            | RECT | .900 .100 .000 .000 | 1.8062E-003
     |          |      |      |                |            |      | .900 .100 .000 .000 |            
3    |          | 2    | N    | pcb            |            | RECT | .900 .100 .000 .000 | 1.8062E-003
     |          |      |      |                |            |      | .900 .100 .000 .000 |            
4    |          | 2    | N    | pcb            |            | RECT | .900 .100 .000 .000 | 1.8062E-003
     |          |      |      |                |            |      | .900 .100 .000 .000 |            
5    |          | 3    | N    | pcb            |            | RECT | .900 .100 .000 .000 | 1.8062E-003
     |          |      |      |                |            |      | .900 .100 .000 .000 |            
6    |          | 3    | N    | pcb            |            | RECT | .900 .100 .000 .000 | 1.8062E-003
     |          |      |      |                |            |      | .900 .100 .000 .000 |            
7    |          | 4    | N    | pcb            |            | RECT | .900 .100 .000 .000 | 1.8063E-003
     |          |      |      |                |            |      | .900 .100 .000 .000 |            
8    |          | 4    | N    | pcb            |            | RECT | .900 .100 .000 .000 | 1.8063E-003
     |          |      |      |                |            |      | .900 .100 .000 .000 |            
9    |          | 5    | N    | Box            | outer_surf | BOX  | .900 .100 .000 .000 | 2.5000E-003
     |          |      |      |                |            |      | .900 .100 .000 .000 |            
10   |          | 5    | N    | Box            |            | BOX  | .900 .100 .000 .000 | 2.5000E-003
     |          |      |      |                |            |      | .900 .100 .000 .000 |            
11   |          | 6    | N    | Box            | outer_surf | BOX  | .900 .100 .000 .000 | 2.5000E-003
     |          |      |      |                |            |      | .900 .100 .000 .000 |            
12   |          | 6    | N    | Box            |            | BOX  | .900 .100 .000 .000 | 2.5000E-003
     |          |      |      |                |            |      | .900 .100 .000 .000 |            
13   |          | 7    | N    | Box            | outer_surf | BOX  | .900 .100 .000 .000 | 2.5000E-003
     |          |      |      |                |            |      | .900 .100 .000 .000 |            
14   |          | 7    | N    | Box            |            | BOX  | .900 .100 .000 .000 | 2.5000E-003
     |          |      |      |                |            |      | .900 .100 .000 .000 |            
15   |          | 8    | N    | Box            | outer_surf | BOX  | .900 .100 .000 .000 | 2.5000E-003
