***************************************************************************
MODEL NAME = MAT_v2_7
report produced by REPORT_RADIATIVE_MODEL procedure at 22:14 Fri 5 Jun 2020
***************************************************************************
-------------------------------------------------------------------------------------------------------------------------
Model Name = MAT_v2_7                                                                                                     
-------------------------------------------------------------------------------------------------------------------------
FACE | SUBMODEL | NODE | CRIT | PRIMITIVE NAME             | FACE LABEL        | TYPE |  INFRA-RED/SOLAR    | FACE AREA  
     |          |      |      |                            |                   |      | EPSI RHOD RHOS TAU  |            
     |          |      |      |                            |                   |      | ALPH RHOD RHOS TAU  |            
-------------------------------------------------------------------------------------------------------------------------
1    |          | 1    | N    | PCB_bat_Zminus:Rectangle_1 | PCBbat_Zminus     | RECT | .040 .960 .000 .000 | 1.1223E-003
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
4    |          | 2    | N    | PCB_bat_Zminus:SHELL_1     | PCBbat_Zminus     | QUAD | .040 .960 .000 .000 | 1.1223E-003
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
5    |          | 3    | N    | PCB_bat_Zminus:SHELL_2     | PCBbat_Zminus     | RECT | .040 .960 .000 .000 | 9.3800E-004
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
7    |          | 4    | N    | PCB_bat_Zminus:SHELL_3     | PCBbat_Zminus     | RECT | .040 .960 .000 .000 | 9.3800E-004
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
10   |          | 5    | N    | PCB_bat_Zminus:SHELL_4     | PCBbat_Zminus     | QUAD | .040 .960 .000 .000 | 1.1223E-003
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
11   |          | 6    | N    | PCB_bat_Zminus:SHELL_5     | PCBbat_Zminus     | RECT | .040 .960 .000 .000 | 9.3800E-004
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
14   |          | 7    | N    | PCB_bat_Zminus:SHELL_6     | PCBbat_Zminus     | QUAD | .040 .960 .000 .000 | 1.1223E-003
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
15   |          | 8    | N    | PCB_bat_Zminus:SHELL_7     | PCBbat_Zminus     | RECT | .040 .960 .000 .000 | 9.3800E-004
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
17   |          | 9    | N    | BusButtomPlate             | BottomPlate_lwr   | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
18   |          | 10   | N    | BusButtomPlate             | BottomPlate_upr   | RECT | .040 .960 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
19   |          | 11   | N    | BusButtomPlate             | BottomPlate_lwr   | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
