****************************************************************************
MODEL NAME = RU_v4_detail
report produced by REPORT_RADIATIVE_MODEL procedure at 15:37 Fri 29 May 2020
****************************************************************************
-------------------------------------------------------------------------------------------------------------------
Model Name = RU_v4_detail                                                                                           
-------------------------------------------------------------------------------------------------------------------
FACE | SUBMODEL | NODE | CRIT | PRIMITIVE NAME | FACE LABEL              | TYPE |  INFRA-RED/SOLAR    | FACE AREA  
     |          |      |      |                |                         |      | EPSI RHOD RHOS TAU  |            
     |          |      |      |                |                         |      | ALPH RHOD RHOS TAU  |            
-------------------------------------------------------------------------------------------------------------------
1    |          | 1    | N    | Panel_body     | Panel_body:solar_cells  | RECT | .890 .110 .000 .000 | 8.2153E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
3    |          | 2    | N    | Panel_body     | Panel_body:solar_cells  | RECT | .890 .110 .000 .000 | 8.2153E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
5    |          | 3    | N    | Panel_body     | Panel_body:solar_cells  | RECT | .890 .110 .000 .000 | 8.2153E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
7    |          | 4    | N    | Panel_body     | Panel_body:solar_cells  | RECT | .890 .110 .000 .000 | 8.2153E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
9    |          | 5    | N    | Panel_body     | Panel_body:solar_cells  | RECT | .890 .110 .000 .000 | 8.2153E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
11   |          | 6    | N    | Panel_body     | Panel_body:solar_cells  | RECT | .890 .110 .000 .000 | 8.2153E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
13   |          | 7    | N    | Panel_body     | Panel_body:solar_cells  | RECT | .890 .110 .000 .000 | 8.2153E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
15   |          | 8    | N    | Panel_body     | Panel_body:solar_cells  | RECT | .890 .110 .000 .000 | 8.2153E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
17   |          | 9    | N    | Panel_body     | Panel_body:solar_cells  | RECT | .890 .110 .000 .000 | 8.2153E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
19   |          | 10   | N    | Panel_inner    | Panel_inner: back       | RECT | .035 .965 .000 .000 | 7.7778E-004
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
20   |          | 11   | N    | Panel_inner    | Panel_inner:solar_cells | RECT | .890 .110 .000 .000 | 7.7778E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
21   |          | 12   | N    | Panel_inner    | Panel_inner: back       | RECT | .035 .965 .000 .000 | 7.7778E-004
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
