****************************************************************************
MODEL NAME = RU_v5_1
report produced by REPORT_RADIATIVE_MODEL procedure at 13:33 Sat 30 May 2020
****************************************************************************
-------------------------------------------------------------------------------------------------------------------
Model Name = RU_v5_1                                                                                                
-------------------------------------------------------------------------------------------------------------------
FACE | SUBMODEL | NODE | CRIT | PRIMITIVE NAME | FACE LABEL              | TYPE |  INFRA-RED/SOLAR    | FACE AREA  
     |          |      |      |                |                         |      | EPSI RHOD RHOS TAU  |            
     |          |      |      |                |                         |      | ALPH RHOD RHOS TAU  |            
-------------------------------------------------------------------------------------------------------------------
1    |          | 1    | N    | Panel_inner    | Panel_inner: back       | RECT | .035 .965 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
2    |          | 2    | N    | Panel_inner    | Panel_inner:solar_cells | RECT | .890 .110 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
3    |          | 3    | N    | Panel_inner    | Panel_inner: back       | RECT | .035 .965 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
4    |          | 4    | N    | Panel_inner    | Panel_inner:solar_cells | RECT | .890 .110 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
5    |          | 5    | N    | Panel_inner    | Panel_inner: back       | RECT | .035 .965 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
6    |          | 6    | N    | Panel_inner    | Panel_inner:solar_cells | RECT | .890 .110 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
7    |          | 7    | N    | Panel_inner    | Panel_inner: back       | RECT | .035 .965 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
8    |          | 8    | N    | Panel_inner    | Panel_inner:solar_cells | RECT | .890 .110 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
9    |          | 9    | N    | Panel_inner    | Panel_inner: back       | RECT | .035 .965 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
10   |          | 10   | N    | Panel_inner    | Panel_inner:solar_cells | RECT | .890 .110 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
11   |          | 11   | N    | Panel_inner    | Panel_inner: back       | RECT | .035 .965 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .140 .860 .000 .000 |            
12   |          | 12   | N    | Panel_inner    | Panel_inner:solar_cells | RECT | .890 .110 .000 .000 | 4.3750E-004
     |          |      |      |                |                         |      | .610 .390 .000 .000 |            
13   |          | 13   | N    | Panel_inner    | Panel_inner: back       | RECT | .035 .965 .000 .000 | 4.3750E-004
