------------------------------
Group: RemoteUnit 'Full Model'
------------------------------
'<output>'                     wrt '<variable>'                   | calc mag.  | check mag. | a(cal-chk) | r(cal-chk)
---------------------------------------------------------------------------------------------------------------------
'P_prop.P_prop'                wrt 'params.Box:outer'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Hinge_inner_1'         | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Hinge_inner_2'         | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Hinge_outer_1'         | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Hinge_outer_2'         | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Panel_inner: back'     | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Panel_outer:back'      | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.QI'                    | 4.2426e+00 | 4.2426e+00 | 0.0000e+00 | 0.0000e+00
'P_prop.P_prop'                wrt 'params.Spacer1_1'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer1_2'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer1_3'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer1_4'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer2_1'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer2_2'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer2_3'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer2_4'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer3_1'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer3_2'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer3_3'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer3_4'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer4_1'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'P_prop.P_prop'                wrt 'params.Spacer4_2'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
