*************************************************************************************
Model = RU_v4_detail
Report produced by REPORT_HF_AGAINST_TIME procedure at 23:09 Sun 5 Apr 2020
HF name = SM_training.SDF
HF calculated on 23:07 Sun 5 Apr 2020, wavelength is SOLAR
Geometry is Whole Model
Calculation method used was RAYTRACING, DIRECT on Faces
Reported values are heat flux (W/m2)
*************************************************************************************
Face 1, [Node 1]

  Angle         Time        IS
   0.00         0.00   1352.74
   5.00    440047.68   1345.06
  10.00    880095.37   1327.33
  15.00   1320143.05   1299.46
  20.00   1760190.74   1261.73
  25.00   2200238.42   1214.65
  30.00   2640286.10   1157.97
  35.00   3080333.79   1092.12
  40.00   3520381.47   1018.60
  45.00   3960429.15    936.77
  50.00   4400476.84    848.03
  55.00   4840524.52    753.08
  60.00   5280572.21    652.61
  65.00   5720619.89    547.02
  70.00   6160667.57    437.56
  75.00   6600715.26    324.51
  80.00   7040762.94    209.95
  85.00   7480810.63     95.84
  90.00   7920858.31      0.00
                              
Average                 844.37


Face 3, [Node 2]

  Angle         Time        IS
   0.00         0.00   1352.74
   5.00    440047.68   1347.59
  10.00    880095.37   1332.19
  15.00   1320143.05   1306.65
  20.00   1760190.74   1271.16
  25.00   2200238.42   1226.00
  30.00   2640286.10   1171.51
  35.00   3080333.79   1108.10
  40.00   3520381.47   1036.26
  45.00   3960429.15    956.53
  50.00   4400476.84    869.53
  55.00   4840524.52    775.90
  60.00   5280572.21    676.37
  65.00   5720619.89    571.69
  70.00   6160667.57    462.67
  75.00   6600715.26    350.12
  80.00   7040762.94    234.90
  85.00   7480810.63    117.90
  90.00   7920858.31      0.00
                              
Average                 860.64


Face 5, [Node 3]

  Angle         Time        IS
   0.00         0.00   1352.74
   5.00    440047.68   1347.59
  10.00    880095.37   1332.19
  15.00   1320143.05   1306.65
  20.00   1760190.74   1271.16
  25.00   2200238.42   1226.00
  30.00   2640286.10   1171.51
  35.00   3080333.79   1108.10
  40.00   3520381.47   1036.26
  45.00   3960429.15    956.53
  50.00   4400476.84    869.53
  55.00   4840524.52    775.90
  60.00   5280572.21    676.37
  65.00   5720619.89    571.69
  70.00   6160667.57    462.67
  75.00   6600715.26    350.12
  80.00   7040762.94    234.90
  85.00   7480810.63    117.90
  90.00   7920858.31      0.00
                              
Average                 860.64


Face 7, [Node 4]

  Angle         Time        IS
   0.00         0.00   1352.74
   5.00    440047.68   1345.68
  10.00    880095.37   1327.59
  15.00   1320143.05   1299.32
  20.00   1760190.74   1260.91
  25.00   2200238.42   1213.20
  30.00   2640286.10   1156.08
  35.00   3080333.79   1090.17
  40.00   3520381.47   1016.00
  45.00   3960429.15    934.01
  50.00   4400476.84    845.15
  55.00   4840524.52    749.91
  60.00   5280572.21    648.80
  65.00   5720619.89    543.13
  70.00   6160667.57    433.22
  75.00   6600715.26    320.35
  80.00   7040762.94    205.20
  85.00   7480810.63     88.37
  90.00   7920858.31      0.00
                              
Average                 841.86


Face 9, [Node 5]

  Angle         Time        IS
   0.00         0.00   1352.74
   5.00    440047.68   1347.59
  10.00    880095.37   1332.19
  15.00   1320143.05   1306.65
  20.00   1760190.74   1271.16
  25.00   2200238.42   1226.00
  30.00   2640286.10   1171.51
  35.00   3080333.79   1108.10
  40.00   3520381.47   1036.26
  45.00   3960429.15    956.53
  50.00   4400476.84    869.53
  55.00   4840524.52    775.90
  60.00   5280572.21    676.37
  65.00   5720619.89    571.69
  70.00   6160667.57    462.67
  75.00   6600715.26    350.12
  80.00   7040762.94    234.90
  85.00   7480810.63    117.90
  90.00   7920858.31      0.00
                              
Average                 860.64


Face 11, [Node 6]

  Angle         Time        IS
   0.00         0.00   1352.74
   5.00    440047.68   1347.59
  10.00    880095.37   1332.19
  15.00   1320143.05   1306.65
  20.00   1760190.74   1271.16
  25.00   2200238.42   1226.00
  30.00   2640286.10   1171.51
  35.00   3080333.79   1108.10
  40.00   3520381.47   1036.26
  45.00   3960429.15    956.53
  50.00   4400476.84    869.53
  55.00   4840524.52    775.90
  60.00   5280572.21    676.37
  65.00   5720619.89    571.69
  70.00   6160667.57    462.67
  75.00   6600715.26    350.12
  80.00   7040762.94    234.90
  85.00   7480810.63    117.90
  90.00   7920858.31      0.00
                              
Average                 860.64


Face 13, [Node 7]

  Angle         Time        IS
   0.00         0.00   1352.74
   5.00    440047.68   1344.75
  10.00    880095.37   1326.74
  15.00   1320143.05   1298.69
  20.00   1760190.74   1260.71
  25.00   2200238.42   1213.09
  30.00   2640286.10   1156.86
  35.00   3080333.79   1091.57
  40.00   3520381.47   1017.93
  45.00   3960429.15    936.70
  50.00   4400476.84    848.14
  55.00   4840524.52    753.01
  60.00   5280572.21    651.90
  65.00   5720619.89    546.20
  70.00   6160667.57    436.59
  75.00   6600715.26    323.88
  80.00   7040762.94    209.70
  85.00   7480810.63     95.45
  90.00   7920858.31      0.00
                              
Average                 843.79


Face 15, [Node 8]

  Angle         Time        IS
   0.00         0.00   1352.74
   5.00    440047.68   1347.59
  10.00    880095.37   1332.19
  15.00   1320143.05   1306.65
  20.00   1760190.74   1271.16
  25.00   2200238.42   1226.00
  30.00   2640286.10   1171.51
  35.00   3080333.79   1108.10
  40.00   3520381.47   1036.26
  45.00   3960429.15    956.53
  50.00   4400476.84    869.53
  55.00   4840524.52    775.90
  60.00   5280572.21    676.37
  65.00   5720619.89    571.69
  70.00   6160667.57    462.67
  75.00   6600715.26    350.12
  80.00   7040762.94    234.90
  85.00   7480810.63    117.90
  90.00   7920858.31      0.00
                              
Average                 860.64


Face 17, [Node 9]

  Angle         Time        IS
   0.00         0.00   1352.74
   5.00    440047.68   1347.59
  10.00    880095.37   1332.19
  15.00   1320143.05   1306.65
  20.00   1760190.74   1271.16
  25.00   2200238.42   1226.00
  30.00   2640286.10   1171.51
  35.00   3080333.79   1108.10
  40.00   3520381.47   1036.26
  45.00   3960429.15    956.53
  50.00   4400476.84    869.53
  55.00   4840524.52    775.90
  60.00   5280572.21    676.37
  65.00   5720619.89    571.69
  70.00   6160667.57    462.67
  75.00   6600715.26    350.12
  80.00   7040762.94    234.90
  85.00   7480810.63    117.90
  90.00   7920858.31      0.00
                              
Average                 860.64


Face 19, [Node 10]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 20, [Node 11]

  Angle         Time        IS
   0.00         0.00   1352.74
   5.00    440047.68   1347.59
  10.00    880095.37   1332.19
  15.00   1320143.05   1306.65
  20.00   1760190.74   1271.16
  25.00   2200238.42   1226.00
  30.00   2640286.10   1171.51
  35.00   3080333.79   1108.10
  40.00   3520381.47   1036.26
  45.00   3960429.15    956.53
  50.00   4400476.84    869.53
  55.00   4840524.52    775.90
  60.00   5280572.21    676.37
  65.00   5720619.89    571.69
  70.00   6160667.57    462.67
  75.00   6600715.26    350.12
  80.00   7040762.94    234.90
  85.00   7480810.63    117.90
  90.00   7920858.31      0.00
                              
Average                 860.64


Face 21, [Node 12]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
  25.00   2200238.42   0.00
  30.00   2640286.10   0.00
  35.00   3080333.79   0.00
  40.00   3520381.47   0.00
  45.00   3960429.15   0.00
  50.00   4400476.84   0.00
  55.00   4840524.52   0.00
  60.00   5280572.21   0.00
  65.00   5720619.89   0.00
  70.00   6160667.57   0.00
  75.00   6600715.26   0.00
  80.00   7040762.94   0.00
  85.00   7480810.63   0.00
  90.00   7920858.31   0.00
                           
Average                0.00


Face 22, [Node 13]

  Angle         Time        IS
   0.00         0.00   1352.74
   5.00    440047.68   1347.59
  10.00    880095.37   1332.19
  15.00   1320143.05   1306.65
  20.00   1760190.74   1271.16
  25.00   2200238.42   1226.00
  30.00   2640286.10   1171.51
  35.00   3080333.79   1108.10
  40.00   3520381.47   1036.26
  45.00   3960429.15    956.53
  50.00   4400476.84    869.53
  55.00   4840524.52    775.90
  60.00   5280572.21    676.37
  65.00   5720619.89    571.69
  70.00   6160667.57    462.67
  75.00   6600715.26    350.12
  80.00   7040762.94    234.90
  85.00   7480810.63    117.90
  90.00   7920858.31      0.00
                              
Average                 860.64


Face 23, [Node 14]

  Angle         Time     IS
   0.00         0.00   0.00
   5.00    440047.68   0.00
  10.00    880095.37   0.00
  15.00   1320143.05   0.00
  20.00   1760190.74   0.00
