length, eff, eps, ht_gain, r_bat, q_s, R_m, R_p, R_s
1.453946627111007139e-01,2.780621676976102741e-01,5.179959301024387175e-01,9.318572711881115689e-01,7.932634552882135148e-01,5.290277218024355079e+02,2.050529955005729619e+02,7.949220348375605738e+01,2.376051016662270854e+02
1.254758676939299600e-01,3.168294555691704706e-01,5.107912085659385149e-01,2.739391951609737030e-01,1.622654706442459016e-01,2.284630009312215293e+02,1.814515799989964080e+02,2.014342762771348987e+02,1.363491358201240757e+02
5.872275121691405281e-02,3.105818824620537044e-01,5.425409279364550308e-01,3.759366887355835019e-01,4.852548586958070898e-01,1.160331563850852035e+03,4.605880217449305292e+01,2.241083209423983647e+02,2.012788193274992068e+02
2.376057906094910799e-01,2.903350234515642558e-01,1.165995825279558251e-01,3.072665636047285931e-01,3.540823332615657959e-01,7.943080489584008319e+02,2.092216249567696309e+02,1.959663463394726648e+02,1.645065577438055584e+02
8.763724008267638477e-02,2.669380906631651507e-01,6.630467747748226559e-01,5.656824912694399243e-01,6.432448520957029237e-01,1.763747816367342693e+02,3.174262218859655604e+01,5.934039595402005318e+00,1.038513997886598617e+02
3.314275156069311501e-02,2.815945198309817155e-01,1.915073223627743737e-01,8.175811222172072457e-01,5.495686886190295217e-01,9.391020850380003822e+02,1.676481728437505865e+02,1.608138201672712597e+01,1.788458437568795389e+01
2.450603239268203393e-01,2.635351994139987220e-01,5.489094260127471703e-01,8.607487275940853833e-01,1.898894359265582421e-01,8.099182576118522547e+02,6.164412413604814134e+01,1.404672235423262805e+02,1.828127682403320762e+02
1.535765696960751381e-01,2.666858126225966075e-01,2.966228144789269106e-01,8.805937978684674761e-01,5.520396327149452720e-01,2.998794457496528594e+02,1.698099945260708665e+01,2.061531729533309090e+02,1.743155018027806307e+02
4.537015309237828198e-02,2.531641264235429678e-01,5.271346572356572224e-01,1.732778862862225100e-01,8.869382809195619499e-01,7.177593627882162082e+02,4.391557542804162750e+01,1.564959222587802117e+02,1.631241638430566070e+02
2.368709047909074161e-01,3.176542709807288478e-01,5.550374832954597659e-01,6.179468367931407746e-01,4.588840418744314920e-01,3.594753398018923463e+02,1.576929255751699941e+02,1.530014941283299379e+02,3.394913311791200528e+01
2.344151857636326830e-01,3.099464802334777058e-01,6.891999767833345558e-01,6.881981575966430453e-01,3.083452229089413410e-01,7.766103241981398924e+02,1.678637069907184980e+02,7.372269625669405002e+01,1.803884720416947118e+02
4.761313113088463944e-02,2.656996664821253962e-01,1.986953203111351818e-01,9.892016794434931315e-01,8.458270866161887724e-01,2.160702737418250194e+02,1.691514511362840665e+02,6.759319763365613198e+01,1.254758475806947189e+02
7.655650070156618317e-03,3.052671225217765127e-01,7.432002785485170016e-01,7.263071355836561160e-01,2.329833147619306821e-01,1.172654482920067949e+03,1.104613565545588756e+02,1.458010584030086534e+02,1.153331209174079532e+02
1.176934088434259257e-01,2.521417267160860343e-01,4.969913996912889709e-01,5.249998825121277024e-01,5.439207708318034157e-02,3.414690721289191515e+02,4.187176212941253084e+01,1.808531126987184052e+02,2.254479481122576487e+02
7.422867584796709328e-02,2.587525028527488113e-01,4.726555639978664569e-01,1.061527878679598691e-01,7.409811873688784689e-02,1.270253952980975555e+03,1.035221231022821087e+02,1.664617600254792649e+02,1.048095868004422755e+02
1.793573595232413054e-01,3.192636349482734781e-01,2.012378954447894552e-01,4.292059357724836710e-01,7.505131878192303763e-01,8.417864188532633989e+02,1.375569143683276536e+02,2.450270105526670648e+02,9.439655314651290041e+01
8.166197629974454586e-02,3.181453210176969915e-01,6.039387472644357491e-01,3.279782558786945024e-02,6.833866569043403061e-01,5.821354480102615980e+02,9.720161018367636530e+01,7.748115095661793816e+01,6.168827128404169002e+01
2.053710521067545480e-01,2.848143985234698472e-01,2.419104200147428330e-01,1.230544625824579047e-01,9.635832337282163040e-01,1.021347538078763705e+03,9.352362895397038756e+01,1.847588407363513454e+02,5.629983539133996118e+01
1.818445211689868543e-02,2.962048424095133914e-01,3.505721527017433004e-01,7.304459036346562240e-01,9.072495607150137253e-01,7.341433003697391086e+02,1.289581185737325768e+02,1.439805149609391322e+01,1.767232616837013381e+02
1.628444808793778620e-01,2.751747582994379382e-01,4.828666604591007605e-01,6.212130968813928122e-02,7.353321970947990227e-01,7.070997151410142578e+02,2.203257842559563926e+02,4.858928359510037609e+01,2.225170737793907279e+02
5.116925856503941328e-02,2.978373501854639782e-01,7.946207786527843542e-01,5.995140919621293474e-01,5.170570601177418846e-01,5.094829692642476857e+02,6.796763848342180836e+01,1.144990377184404906e+02,1.251224279608901035e+01
4.405751140211023459e-02,3.005829518160591518e-01,1.792775076130015965e-01,6.753640082396685784e-01,2.698664826386322768e-01,3.877926521197141483e+02,1.117492934857033191e+02,2.195536202625179953e+02,2.908672375108887209e+01
1.420853975424453408e-02,2.577747303691509395e-01,3.599478076334585164e-01,7.082458913917152321e-01,6.534018965146155544e-01,4.539153727507969052e+02,1.639268312428171726e+02,1.902298311321662538e+02,1.819571702060392511e+02
2.494083100176596735e-01,2.574408379727761709e-01,3.284671696752236580e-01,1.417852859866594872e-01,6.084833616828511094e-01,4.283162082892795866e+02,3.779431771663926298e+01,1.749826580853877260e+02,9.601630728581869789e+01
9.206782693084792843e-03,2.803700284493997330e-01,6.298692948180054652e-01,6.302113718020206923e-01,3.807567999075959775e-01,1.695001058666356926e+02,1.238751318359631597e+02,5.876981331922549145e+01,2.280850366602899726e+02
1.783524253821942851e-01,3.049257130798608273e-01,2.733195077629913539e-01,6.514202789107647051e-01,7.874750428161487736e-01,3.704834770349784776e+02,1.323084960887622969e+02,2.162925783518158198e+02,2.467291129566951895e+02
1.698604125882916260e-01,2.610066211979820139e-01,2.731738969975366221e-02,8.473225119649711035e-01,3.923478603823387645e-01,6.317158748591873518e+02,1.884359965934862089e+02,7.552269474194594068e+01,7.478546408502203313e+00
1.888951850145250133e-01,2.860921684848323765e-01,1.057385116139905046e-01,6.484146647274787734e-01,4.413482191014992950e-01,1.627510087555884297e+02,1.178627951533889302e+02,1.493544956031080631e+02,6.525991987383733317e+01
2.149403068182692833e-01,2.517348641359716810e-01,6.682215536947166967e-01,2.771816417119897236e-01,3.551972482421357769e-01,1.063972943997316634e+03,1.049488994740084138e+02,2.174698826714416384e+02,1.716238854987343814e+02
3.806346746735006503e-02,2.894923901148195311e-01,7.305500361896606343e-01,2.570412228819439759e-01,2.591587490065107025e-01,6.868899972249389521e+02,2.467457828835756288e+02,1.758402014580575496e+02,2.046306034928927602e+02
1.349917332787771151e-01,3.135597366959243515e-01,4.712074874873991015e-01,5.171782907048411149e-01,7.589336821959441481e-01,4.608183670406238548e+02,2.023029914924086015e+00,2.324164362173789016e+02,1.241955098370188466e+02
5.486848356248476277e-02,2.969783022801104067e-01,4.630480553197998117e-01,8.548534735985742206e-01,2.543616750184695130e-01,2.337096562075645352e+02,1.197512933261279500e+02,4.505688951707453782e+01,6.805393726385239006e+01
1.806216309863902525e-01,2.911086884838457456e-01,3.223901321223856531e-01,1.380249055582924989e-01,4.170212778839835210e-01,8.334307868098064773e+02,2.458921504395334239e+02,1.786268299282474175e+02,2.458086633762925466e+00
2.141063374235989136e-01,2.628382756445499790e-01,4.174914320920873889e-01,8.890967576136448169e-01,7.757062658827880153e-01,5.448946674255867038e+02,7.313128601709908594e+01,1.114657490292599533e+02,6.008776875255742667e+00
1.725274232646058781e-01,2.792027447703587795e-01,4.127794142946497602e-01,3.448257154078162579e-01,9.719866761384304832e-01,8.251621311894318751e+02,1.470079097185326944e+01,5.366063727495284752e+01,5.367666151772088057e+01
1.290648513402550823e-01,2.858916214122527721e-01,6.653736824714860665e-02,9.645078338598417345e-01,5.874629669457082093e-01,6.689922046574222350e+02,2.562991233334903285e+01,9.038210002418949784e+01,1.847089262933022269e+02
6.506402772745159546e-02,2.961488831228272778e-01,2.456203176829502011e-01,9.486357762177916042e-01,8.629058719834956648e-01,9.561346729359705705e+02,3.084481182935000732e+01,1.983849597647283645e+02,1.880121056263574530e+02
