length, eff, eps, P_ht, r_bat, GlMain, GlProp, GlTether, GlPanel
2.473005964868868201e-01,2.807403694603438082e-01,6.893698462177731967e-01,3.959629350853182128e-01,9.995958207975124132e-01,8.894787299430906291e-01,5.347496400081793722e-01,5.769369164355218071e-01,3.505712134630264987e-01
1.259668420751642592e-01,2.599990090768298789e-01,6.013497063951792065e-02,7.931454688968101463e-01,2.575788953373209234e-01,6.896615190538091245e-01,7.930979230550287973e-01,1.614816715600440877e-01,5.489449774522273673e-01
1.698815797887827730e-02,2.560832917111580120e-01,6.415963906388041371e-01,1.541097892536250624e-01,6.562614115740622589e-01,7.208099768987399347e-01,4.563873742503515296e-01,4.484060427522808534e-01,7.076590823561600407e-01
1.469021937325704630e-01,2.610202044224245732e-01,1.867305030484069650e-01,5.517993550810690317e-01,9.189685202536775899e-01,8.189631738697993324e-01,1.107098810326386483e-02,5.245527163055632158e-01,6.141900168533985793e-01
7.328242339679987005e-02,2.675222895199066975e-01,2.158689578327188108e-01,4.093761936890921715e-02,4.822914891428972672e-01,5.057875778392830757e-01,1.526283103152117904e-01,9.474361949234199054e-01,1.803141274062767530e-01
1.120521487703024510e-02,2.897128987577302084e-01,3.929863024844598152e-01,9.684144906676854792e-01,3.110608174307508134e-01,6.699549936024787877e-01,3.112881734599060729e-02,2.452559231859038347e-01,5.806614833950775045e-01
4.029521824454831286e-02,2.719539666340069495e-01,4.170743147668569684e-01,8.577472597162889567e-01,8.956408852312363056e-01,4.927447945501611248e-01,5.797766185062408484e-01,6.657488579539828644e-01,1.662572975064706415e-02
4.477120885974347764e-02,3.004767147090288137e-01,3.229757571101184443e-01,5.067500335976117265e-01,7.020499231795461759e-01,1.939315645819166822e-01,9.166567387915108833e-02,8.950351984266782246e-01,6.851937454531451532e-01
4.085820886104189580e-03,2.970457335264527488e-01,1.396105458896562956e-01,3.396722628531194665e-01,1.450611249304754047e-01,5.956707807270632538e-01,3.672773463706560659e-01,2.595154157344392032e-01,1.096287244442634007e-01
2.519937182087004235e-01,3.012016812374656016e-01,4.688738074555940383e-01,7.451210448728372571e-01,4.465553161598007637e-01,5.369020795379331190e-01,9.963823360137101792e-01,4.768999724263147111e-01,1.356997478395857437e-01
1.874724601646086675e-01,3.141898230827622207e-01,6.232474356648172176e-01,8.041318043064964449e-01,6.200162261679804665e-01,3.352227173301107754e-01,2.469950199334778052e-01,3.462002435211128382e-02,3.582025219964226626e-01
1.951086273848738339e-01,3.056394896567427577e-01,6.459913940812488375e-01,1.287608785446056441e-02,6.429407386325054485e-01,4.104454265130651480e-01,7.639535754129966882e-02,4.156196514321593427e-01,6.761180133335124021e-01
5.449713984575989961e-02,3.153325781376138393e-01,5.449051340346069416e-01,4.592800897101993463e-01,8.441324826250171665e-01,6.099257128729178579e-01,6.852415031664030876e-01,2.913485792878230396e-01,9.127516837946638706e-01
1.064403258366208999e-01,2.674985379013437026e-01,3.543057746981336797e-01,7.209235173538607322e-01,7.419134597633930683e-01,8.507053709278566966e-01,9.385113318452713571e-01,9.507040560379758087e-01,7.348094281782894255e-01
5.752506207622040679e-02,3.035304261144023963e-01,7.618941683816472521e-01,6.978575547486042252e-01,4.613664004545824371e-01,9.933833221860052243e-01,3.262908840114630005e-01,8.134851946273743417e-01,3.836038398682500294e-01
1.998048209457664315e-01,2.949405292680100654e-01,7.843284213555348217e-01,4.983066544454487490e-01,5.914812793705200855e-01,7.988216457503351242e-02,6.733675505785738924e-01,9.844074277226048109e-01,6.508530077669733016e-01
2.166165535759685956e-01,2.797443096451040501e-01,2.382039366145532189e-01,2.915087315358847464e-01,9.407802636705099308e-01,3.240169319572865914e-01,7.020544208489761795e-01,5.511077781397087927e-01,9.918145686693677909e-01
1.831286823940057595e-01,2.703757336617366724e-01,3.755889050236912996e-02,6.046203294239220760e-01,5.562164184957310020e-01,5.284535095864924259e-02,6.382581860663147921e-01,7.631112290460712044e-01,2.503074226728181917e-01
2.060381656123239646e-01,2.856554947480491879e-01,2.573713102888486315e-01,4.312783843516608817e-01,1.076573285804748037e-02,1.313559670219105469e-01,2.994308353764238984e-01,6.056727453184361787e-01,8.699849704845419307e-01
9.186375661812759552e-02,2.640934677232064653e-01,5.556735524627679501e-01,3.699675869734147526e-01,9.751057943426730268e-02,6.300898417864942980e-01,8.827307364990865102e-01,8.258468913791032762e-01,5.975718992688136555e-02
1.673069116724923144e-01,3.173502999096914912e-01,9.703201434690050808e-02,6.515209071661448581e-01,8.728686422455969041e-01,7.902704976012834281e-01,4.167741137854935607e-01,7.287246572172306758e-01,2.772198245485771873e-01
1.650146556244262430e-01,2.511210182260332768e-01,5.861112948630750052e-01,6.314277677337970518e-01,7.763133423821080292e-01,2.037250169945846456e-01,8.186769306538786983e-01,1.464442558127872773e-01,4.400213917367520322e-01
6.789292440116685701e-02,2.881610990174715559e-01,2.783567346360078520e-01,1.951475407263796591e-01,9.600604138369199791e-01,6.562510846434008172e-02,2.752716809006979237e-01,1.246267755626146029e-01,3.195372907708472487e-01
2.263235052503298206e-01,3.081940142838617280e-01,4.555868868304507324e-01,9.347931282149476440e-01,5.176105284959864328e-01,9.289535020774761787e-01,5.036048651171799451e-01,4.791087257295699176e-01,9.452899245718673349e-01
9.758760606745447985e-02,2.925699138725172399e-01,7.479944926698306462e-01,2.443415935310151721e-01,4.130431032710340511e-01,7.387968355391053565e-01,6.079392892049730879e-01,2.802790756476423659e-02,9.065738067513426368e-02
1.159838003485285512e-01,2.844303207287364188e-01,1.090881179262147421e-01,9.839133289391460702e-01,7.611833071644724669e-01,1.131306571851136561e-01,4.308504102767360400e-01,2.033853654697066193e-01,7.781128759292212926e-01
3.080738149758610253e-02,3.105908411864758412e-01,5.679420091664986181e-01,8.481238556978301091e-01,2.355581523137460220e-01,1.544517585330073550e-01,8.458099706273952689e-01,3.275269961142011077e-01,4.652680430968463843e-01
8.587578500643666679e-02,3.187645456240847941e-01,4.463364609208878009e-01,9.349238698552300719e-02,6.912945289692715711e-01,2.973777460485426127e-01,7.413973420692013816e-01,7.253299036186057203e-01,1.617908239252170144e-01
1.130595148653849996e-01,2.768535845483801605e-01,1.572407110049332535e-01,6.534782417489906625e-02,8.137683919079333750e-01,9.052956577800180815e-01,8.529716198695347362e-01,3.533709821694421271e-01,2.951577497751290413e-01
1.750513147710881789e-01,2.734806108172168071e-01,7.354739022649898761e-01,4.081984140067343447e-01,1.157110156100572690e-01,4.743945429730750951e-01,9.129416801779158819e-01,3.466034165386415733e-01,8.227656514556551670e-01
2.157526374759481669e-01,3.121890355855517774e-01,5.804719464554422559e-02,2.129444671786047127e-01,3.628982155263799636e-01,4.355269031795848678e-01,5.626882728843674020e-01,1.022336075622585355e-01,5.267361479645594757e-01
1.417899106926897856e-01,2.750884523711598639e-01,5.056121171994217844e-01,3.052248241097167414e-01,2.528725062234147072e-02,8.434460491295765472e-01,1.797533209628277284e-01,6.554852038999607611e-02,7.600972655136071232e-01
1.584254005476565808e-01,2.917308144531112202e-01,7.149417485700652053e-01,5.988690006789663123e-01,1.541771464277639780e-01,2.375312803493035974e-01,1.212500603508144120e-01,6.974252320204558098e-01,3.986355912324376916e-02
2.295311806712521663e-01,2.542452701728187270e-01,3.058736209747608403e-01,2.515498749206112605e-01,3.994918078821676488e-01,3.625337455240145723e-01,1.567362228851899297e-01,1.861167795450849038e-01,2.148334433922541309e-01
2.394584653978271138e-01,2.635520441430879157e-01,3.723186692522837404e-01,8.800031225983161454e-01,2.144610782129075521e-01,7.739008821169929275e-01,3.470489066329696115e-01,7.847342265859253985e-01,4.208264890359116883e-01
3.581908399179603575e-02,2.816848349737108292e-01,1.966612485540384370e-01,1.262127952043149703e-01,2.926174665195268032e-01,2.569732548282659401e-01,9.553953566626642857e-01,3.945381498115853591e-01,8.465516508736037338e-01
2.502990763418050726e-02,2.520710014989736014e-01,5.115870556780083289e-01,5.321809301899348421e-01,1.914662125608261878e-01,5.912205442280998521e-03,3.847809482630013544e-01,5.544555198675681362e-01,4.923455171504347860e-01
1.271999611100454175e-01,2.984060150897370756e-01,3.455667152431280420e-01,1.100257013897542463e-01,3.451771613966116981e-01,9.750263780490963095e-01,5.003715485572803878e-01,8.598080299562507189e-01,8.995164601811266314e-01
7.902078620853482394e-02,3.067201232560022306e-01,1.208286384643785655e-01,7.550628480982559676e-01,5.119857822310783235e-02,5.753965726872538600e-01,7.558512128459439205e-01,9.121376568530605855e-01,5.617278939434161567e-01
1.333675078037132034e-01,2.574301490790686930e-01,6.711671843589295250e-01,9.025674358098723093e-01,5.375497600089020889e-01,3.919244794079719263e-01,2.151945550188783252e-01,6.319611717622456437e-01,9.643956446936409188e-01
