length, eff, eps, R_m, R_p, R_s
1.393779011419602476e-01,2.019557085732133495e-01,3.786901820891799830e-01,1.922614080176670655e+02,6.940290309217340337e+01,1.550713522833396780e+02
1.585816584787630781e-02,2.266998335587669666e-01,4.399817064478210860e-01,1.310123496208305767e+02,1.085483405995692721e+02,1.953754118263976807e+02
2.401849222419566443e-01,3.236206015244880718e-01,4.495715131518486785e-01,1.135305433079297188e+02,1.515219469736366307e+02,4.610126697227308057e+01
2.336421284217931327e-01,3.495431929151016637e-01,3.821014693384325867e-01,1.688225516130329424e+02,4.687979372099536413e+00,1.465373106495127900e+02
7.169074980193528013e-02,3.476317339514600757e-01,7.463616340302229313e-01,1.946557764556199288e+02,1.926359729958352887e+02,2.118729757915405632e+00
1.835347464320472854e-01,2.092240198920197192e-01,4.913208979858887937e-02,7.977221299167879920e+01,1.224700991335771079e+02,1.643546854274838438e+02
1.926700549245584093e-01,2.729763889205869543e-01,5.856717178825688874e-01,1.878620778006495868e+02,2.247020767938335553e+02,9.574113732727274950e+00
1.643432093087918988e-01,2.242709254520710849e-01,6.483946387085336438e-01,1.577008462319323883e+02,1.703021150313934751e+00,1.068284826028017420e+02
5.170604956752982567e-02,3.405742964895702718e-01,6.719853138822737826e-01,2.447102653287759040e+02,1.008573161570058119e+02,1.402243643518464751e+02
8.226549044909674258e-02,2.824990903322920355e-01,5.848065967697451129e-01,2.435672795847962391e+02,4.313059265506915096e+01,4.175680487297759669e+01
1.299862500702608781e-01,2.333932206626665729e-01,7.970757479762984321e-01,2.057786990867494126e+01,8.139586276202841475e+01,2.017358908552231469e+02
2.381899273868896272e-01,3.293749527663984988e-01,5.230863665346558999e-01,2.575294517797641447e+01,1.519149018299481781e+02,1.106079458519172931e+02
2.539551278933696588e-01,3.873312553094468424e-01,5.915777393383365723e-01,1.234946848676177069e+02,1.853114918910295330e+02,1.249517443997795567e+02
2.365141306727161497e-01,2.143178263454069143e-01,3.390102199633196478e-01,6.705044933214143299e+00,1.672880782294832329e+02,1.087686514099997623e+02
1.252952739599884346e-01,3.580419155568979606e-01,6.814193701966828054e-02,1.937370544782099557e+02,2.448319455405152212e+02,6.288218435031068587e+00
9.572887339254203265e-02,2.436224970001949208e-01,4.483494495827494153e-01,8.991398062059362317e+00,1.716888110643611043e+01,7.938608489090943010e+01
3.833990886290641192e-02,2.750324922683412554e-01,4.203460154645646818e-02,1.379704939529119940e+02,7.452864537635538511e+01,1.431349861297737469e+01
1.568544217221638504e-01,3.392221765829017133e-01,4.798681998684962147e-01,2.119370580836982754e+02,1.038919544581710284e+02,1.374173118124919881e+02
7.079195323753997848e-02,3.505567775403397035e-01,5.296004600266288609e-01,8.376768006605701089e+01,9.092997477126125716e+01,6.872318423949653265e+01
9.513564544639538378e-02,2.521713027687177422e-01,3.053188224306103704e-01,2.080229683855114899e+02,7.115838537143167386e+00,5.963602419743782690e+01
8.502660941169708220e-02,3.691759567506739947e-01,6.986136977701125073e-01,1.620492996587110781e+02,4.697823251798811839e+01,2.067294008617382417e+02
4.638450112105089659e-03,3.647804017572658930e-01,4.284238478627658830e-01,1.516887978376394219e+00,1.373416635524925766e+02,8.442298240584868552e+01
1.164613280163721842e-01,2.130315172405708724e-01,2.910448041547479547e-02,8.070663797873633882e+01,3.857847436090288085e+01,7.331027845418839206e+01
1.817259629069625515e-01,2.464043855011250339e-01,7.673695468456368518e-01,3.069677560144598516e+01,2.043771185353694477e+02,7.757026802523400022e+01
1.448827185834456743e-01,3.654793975309162946e-01,6.412048941892613263e-02,1.126311823643877261e+02,1.173732241400976619e+02,5.086027433238560036e+01
1.344005776933281104e-01,2.291323164380430211e-01,2.507313135259357506e-01,1.278719823513860661e+02,1.738582309217341901e+02,1.738159024609853418e+02
1.981392145667468241e-01,2.270471951253554277e-01,2.255288835575735840e-01,2.098348501459657029e+02,1.440196091032348988e+02,2.244733140376277731e+02
1.749483078313088524e-01,2.050556003465815458e-01,2.729917890356524102e-01,2.483131855210488652e+02,5.733496094319533398e+01,5.712936961695903904e+01
1.231018977844626772e-01,3.031140579448632355e-01,3.504637572936700751e-01,1.703349660512928381e+02,2.297222213536284414e+02,6.624051011238395859e+01
1.328734735595234542e-02,3.736022835856940283e-01,3.951768780278048787e-01,5.904077735471983601e+01,4.025132943832915799e+01,1.832645349744246062e+02
2.282156359358105124e-01,2.446910891101615193e-01,5.754734747461295319e-01,7.008813294613355538e+01,2.101820856744594721e+02,2.027362944561318159e+01
2.229130487039024111e-01,3.899733174285350268e-01,2.286716571254838182e-01,7.725878903841038436e+01,5.608574570314770114e+01,2.270225330940231458e+02
3.393312516106384430e-02,2.745201659923901527e-01,5.561754094872960463e-01,7.658828964737707246e+00,9.305055807306159465e+01,1.694802676847606335e+02
1.262605003646732338e-01,2.459403835400537641e-01,1.652057087545901748e-01,1.053258566894499779e+02,1.549838643921139862e+02,4.909786958874835960e+01
5.964170146061498895e-02,2.421339653620537269e-01,3.710384516889436157e-01,1.852816943324275485e+02,2.183640611163413325e+02,2.375853743061830983e+02
4.834580893680674035e-02,2.584011046913939347e-01,7.905001606585344565e-01,1.451776402468659910e+02,1.965044875359705259e+02,1.787143259077565745e+02
6.960318421901493836e-03,3.563665448395197943e-01,6.242749084829359862e-01,9.489606254433080323e+01,1.879345117871095567e+02,3.538695418631791600e+00
1.235008918605783879e-01,2.736214622338852265e-01,6.568295839012501247e-01,2.112543637759349338e+02,1.329464432055810903e+02,6.759485652258938160e+01
1.020922471096046696e-01,2.775945915323890789e-01,1.115676215496290702e-01,4.320594387858905705e+00,2.187456459411054155e+01,1.445568314835301464e+02
2.495372416265489446e-01,2.530397675925187828e-01,2.975529060992948560e-01,2.206218883502297956e+02,1.909994192519669696e+02,7.191056301950303009e+01
2.107467287636269893e-01,2.080681740033371030e-01,5.597604263366140476e-01,1.873781941076510691e+02,1.743543609962876317e+01,2.185944887212294248e+02
1.853102815527266356e-01,3.385155200809866205e-01,3.462182519653804746e-01,3.734216856665015172e+01,1.794827145970782567e+02,1.061617672399971113e+01
2.458044263984219824e-01,2.518512150023569096e-01,3.565378810308752477e-01,8.454425057756196793e+01,7.899391741560692459e+00,1.719833776826021108e+02
1.058840659418509855e-01,3.134950279318908795e-01,2.596266096829679126e-01,9.814160975326754510e+01,1.182252712192614581e+02,1.365003249239887850e+02
2.193600547678400126e-01,3.716204118042376603e-01,5.043223044221760709e-01,4.763210776481617614e+01,3.758214539270946375e+01,1.504528932522452180e+02
2.482162764598909999e-01,3.844691344788118137e-01,1.275899068918967816e-01,2.392075978812007406e+02,1.338571962869654328e+02,1.132341888045264113e+02
1.793329288946750588e-01,3.435971629121084003e-01,1.482770606635075150e-01,7.586563940129589412e+01,2.019984724648565475e+02,2.147240934083184811e+02
2.091572018468556560e-01,3.788065694910015546e-01,5.134647856836935809e-01,1.583381626417338737e+02,1.540656532286967320e+02,2.423621632947133548e+02
1.011489581070540850e-01,3.983361545798423387e-01,2.336299807314972943e-01,2.101190280488799544e+01,2.125032493200366162e+02,1.621544885701989358e+02
2.360015764388588011e-01,3.856214309226261294e-01,2.561214780484525888e-01,5.264888748159394538e+01,7.826781921713912027e+01,3.773285234683760336e+01
1.002329606378774135e-01,2.374998700154441200e-01,4.091548221137537578e-01,1.092930374884515174e+02,1.984464961842709485e+01,2.227333435829190478e+02
1.428592862146201570e-01,3.352411484944131659e-01,6.454334296077306465e-01,1.841889415059141655e+01,2.361657436199310496e+02,1.434415047635008307e+02
1.174575344308932123e-01,2.682325545303488878e-01,5.420591019690300660e-01,2.323212708087631029e+02,3.147475670013125892e+01,1.679490017942020188e+02
1.442070168687663023e-01,3.929729687988287035e-01,2.131637574982368777e-01,1.765552081223294465e+02,1.999510632108049606e+02,1.268385982719144778e+02
5.265737104511883891e-03,3.779883580207925586e-01,3.279870469117863174e-01,2.236874071318078165e+02,8.787530670396063215e+01,1.003147347483695171e+02
9.140292602922812926e-02,2.198764000828093979e-01,5.525889801982691862e-01,2.224843157075575277e+02,1.764145052740436199e+02,1.532069244419255654e+02
9.482333907106578127e-03,3.081075598272461358e-01,4.968264996986285209e-01,1.245945529927466993e+02,1.335052666821147938e+01,2.035998807859690487e+02
1.308373131386820487e-01,3.160360191310459532e-01,7.371024283732705573e-01,1.812027691767675321e+02,1.572514762465078206e+02,1.980216402794117130e+02
9.849342083234716161e-02,2.831408103986394753e-01,6.390638471500706963e-01,3.307227947408294000e+01,1.056498838529218531e+01,1.872204740025920273e+02
7.425644444185201809e-02,3.517763166883164372e-01,6.275964513577581005e-01,2.476531505859096427e+00,1.350778624839272766e+02,1.630426447888427504e+02
1.761261749704866597e-01,3.050875312552842611e-01,5.000460756692632902e-01,6.257324970190629188e+01,2.405984367435707227e+01,2.180255482884392038e+01
1.289408874427879215e-01,2.612044617044778638e-01,7.710653433334558882e-01,6.393103742532692735e+01,4.573858951770136372e+01,6.970134989632055067e+01
2.430432466142870007e-01,2.490933913582466797e-01,2.646716931746432300e-01,1.981768343730404638e+02,6.750474749879177239e+01,1.306369649270434365e+02
1.273744456031303818e-01,3.605856985062644848e-01,3.138987490890095544e-01,1.955205267317270739e+02,9.116386350019336504e+00,4.740822176885961881e+01
6.276384851558534927e-02,3.256549900127133634e-01,5.786092367981819917e-01,1.693143399735432126e+02,5.430045870330726387e+00,9.693700384925283231e+01
2.500816964068490120e-02,2.485393137935275609e-01,5.620212712881614281e-02,1.264862126515308347e+02,2.262252138267172654e+02,1.566085251346652853e+02
2.206030367455888153e-01,3.047281861699971950e-01,7.930727895863940446e-01,2.000141400751053595e+02,1.746080589512147299e+02,8.957036730952110304e+01
2.012591096079847652e-01,2.027205801955719588e-01,5.996580245846351298e-01,2.300068302593071508e+02,1.809469692964535454e+02,8.349673287114430309e+01
2.450859650176933080e-01,3.768909881789234140e-01,8.043077259355618791e-02,1.065890207054922314e+02,1.463876519626714980e+02,1.265784033759632052e+02
6.915692429566185073e-02,3.823466181915923801e-01,9.050455851982389111e-02,2.003621767503699118e+02,9.879245785705768412e+01,1.888526386459213029e+02
8.010285766406585739e-02,3.469694332999182507e-01,2.104385377815262137e-01,1.759386593667000795e+02,2.429726944227138006e+02,2.136917477837881165e+02
1.348232153247164999e-01,2.693316374665333801e-01,3.189269025035025296e-01,3.181585239678393506e+01,2.393232951408386100e+02,4.556681295746628280e+01
2.684985563432064348e-02,2.540151917182615904e-01,7.584946425758647415e-01,1.836245735187876278e+02,9.744724009867704240e+01,1.497394778420918158e+02
2.901763899628423751e-02,2.039003975441855965e-01,1.863919807978970389e-01,5.781098896443201340e+01,7.735735619000381291e+01,7.534691148207831191e+01
1.624526968225100954e-01,2.309550608830406027e-01,1.520270539968791579e-01,1.381012289171452423e+01,8.445162872477854421e+01,2.406754726001942117e+02
9.744755837065176285e-02,2.075704446171023343e-01,4.954508646217044565e-01,1.656728604795679303e+02,9.465602725967436015e+01,1.285372477701598015e+01
6.033666593248396964e-02,2.561551406636252692e-01,7.826794561546950302e-01,1.638099435650916860e+02,2.916355255916527867e+01,5.381245760572326731e+01
2.055117432705488301e-01,2.259192603483565487e-01,6.155166975222948755e-01,2.335524717738136076e+02,5.072345871266589512e+01,4.286174397145627779e+01
5.781302672073356658e-02,3.120479963123569123e-01,1.540320522216554466e-01,2.352188858081462968e+02,7.365101030692679274e+01,6.418300921186889241e+01
2.184024514359954039e-01,2.794635082776296686e-01,8.261579586039741185e-02,1.895301952533511098e+02,3.519703798729705113e+01,2.778163181139893467e+01
1.122543751984077659e-01,3.905991890814856093e-01,6.070739415909871539e-01,2.424394382745775545e+02,4.119158762713637856e+01,6.295651898348293685e+01
2.359323504633276114e-02,2.978457000278130207e-01,7.520695607872673882e-01,7.273302915221290732e+01,1.479316223385410751e+02,8.689628774016659918e+01
1.082977747332169831e-02,3.675192157404740811e-01,3.229662645550401834e-01,2.065282570369573136e+02,2.265775216987905480e+02,1.289497554232051471e+02
2.511658166487875099e-01,3.333123198459838066e-01,4.239005417569650103e-01,2.147580567583613060e+02,1.418860596877661067e+02,1.391589437261056332e+02
1.087958689234430898e-01,2.606614032595105934e-01,2.858797526461898664e-01,1.009023989980714333e+02,2.537470513793870097e+01,1.631367939543401846e+01
2.141943251870943032e-01,3.347189231211843419e-01,7.458102095032938250e-02,1.331028628818101822e+02,1.845123746002972496e+02,1.886586528709042554e+01
1.489120349004436905e-01,3.326178056069940547e-01,5.438614827607696212e-01,7.527848039119611201e+01,1.613157763395842892e+02,1.966563273081603995e+02
1.766696441850708899e-01,3.610862225965260075e-01,4.574487699388323225e-01,2.134212858427641777e+02,2.065343126115946291e+02,1.154985737951414926e+01
8.361136983011933270e-04,3.095072410562994536e-01,5.339310971556764374e-01,4.256029856870676298e+01,2.486320178672417569e+02,8.306690039412391968e+01
1.579966218609095419e-01,2.125334503293718758e-01,3.650593034834667683e-01,1.538938461686501853e+02,2.341320602914488234e+02,7.580118142525495273e+01
2.239417873692440830e-01,2.102144636093832564e-01,3.621641820980734394e-01,1.018866193193228042e+02,1.055079470448510648e+02,1.902180423870246955e+02
1.117139235156059812e-01,3.911710960815816263e-01,6.012194377912268850e-01,3.462171509172045347e+01,3.601431310977182676e+01,1.926557189439301396e+02
3.278387533942805215e-02,3.532852300791958222e-01,4.738301670564644685e-01,7.100958263866232301e+01,1.830301112456756130e+02,2.174302103560655439e+02
1.383883625156492048e-01,3.110754883965773376e-01,7.203395973482011883e-01,1.419526560862149154e+02,3.016600571185714230e+00,1.590453959001805231e+02
2.000504193064177663e-02,2.597088950799857354e-01,5.487250281905994287e-01,8.243989223852598514e+01,4.405241104288374743e+01,3.206009226328085049e+01
8.345679809918268854e-02,2.358743859498008966e-01,7.697403346707271110e-02,2.176943049486665416e+02,1.865675786488630763e+02,5.893963388422760374e+01
1.859768895734770222e-02,3.556846748753537124e-01,6.845160745728402496e-01,4.411058989784523732e+01,3.345845612774639477e+01,1.324934177149287109e+02
5.485367555559968189e-02,3.370227494710140714e-01,1.084915117973986737e-01,1.594165622540359379e+02,1.494741438939757359e+02,9.350610276546832722e+01
1.191190579821555830e-02,2.644940123751762240e-01,2.435869711255768955e-01,2.384844083989124499e+02,1.247473819965426571e+02,1.606792619691401001e+02
1.218654431949798556e-01,2.169237505504137964e-01,5.372107322297240417e-01,5.410235663472484191e+01,1.292784268398326333e+02,5.212573278658936005e+01
1.611499153009580132e-01,3.812322906482332185e-01,2.021074789984860232e-01,1.281979384238566126e+02,5.416147068698216316e+01,1.219815431211861352e+02
1.867335120582380714e-01,3.791566770767155758e-01,5.909057707750728361e-02,1.740124540679624090e+02,5.974305933451307027e+01,2.263376152315060494e+02
1.902523822935798803e-01,3.636646014539369753e-01,2.204836351359525937e-01,9.720635468966976944e+00,1.210612317555974471e+02,1.408743160168131965e+02
1.626441331729001905e-01,3.270895140289558634e-01,1.027137071606093327e-01,1.695210354852323320e+01,7.087019016246860303e+01,2.046764571911148494e+02
7.982419985143700270e-03,3.208294141849807324e-01,3.418141042550765230e-01,9.339541478643700145e+01,2.708818182162407595e+01,6.107663857471240476e+01
1.934258717211844725e-01,3.960724913436081129e-01,6.194595856302710368e-01,1.289988475134509649e+01,2.100552550309850233e+02,4.965004756718778367e+01
2.313553341180771827e-01,2.322489520421967268e-01,7.757193279328556956e-01,8.905211185002652030e+01,8.618297158382328860e+01,3.037777348531675159e+01
5.705153671932911008e-02,3.689233363795844101e-01,4.329827604699402199e-01,2.493124316104638183e+02,1.471621507281636241e+02,2.006879626895307354e+02
2.028445028095719471e-01,2.923911538838470103e-01,2.952272987145252992e-01,8.954318670481187326e+01,5.950806915054658930e+01,1.042570031442693335e+02
1.325823073066657587e-01,2.998752705492897519e-01,9.765081088944660426e-02,9.983206780885484477e+01,3.326230081134436745e+01,2.474117119253322699e+02
2.150790901521877629e-01,3.838286880650312316e-01,3.841085794199720072e-01,1.721522744041679402e+02,9.618783508203966903e+01,2.702164721856416563e+01
1.889393482731236973e-01,3.107719719049285567e-01,6.554138873516004438e-01,4.894393014827225841e+01,1.310355412075433321e+02,7.544176423508183404e+00
2.132558065138039777e-02,3.245524625896374360e-01,6.114588986073190569e-01,1.791849337326313787e+02,1.769078748764669342e+02,2.104085764808662304e+02
2.296059605642730150e-01,2.627851572483050901e-01,6.708367808436150881e-01,1.218283368618628657e+02,6.537160165968244030e+01,2.060841076824080176e+02
1.504461422143606696e-02,2.663290783591091837e-01,1.622284957959832241e-01,1.362960863989166285e+02,2.993827853126563454e+01,1.577652874841441246e+02
8.753970520824369550e-02,3.069014204583248029e-01,1.882773002791477690e-01,1.122726867487416769e+01,1.629818842988574090e+02,1.801303672234325575e+02
4.537503660386276588e-02,3.668193008233016084e-01,8.897261303548570366e-02,6.739142549342487598e+01,7.229055340401431806e+01,2.152957322729869531e+02
1.707802864570060197e-01,2.064737023561838969e-01,6.815177827883249773e-01,1.476660221107925395e+02,1.443046283603720497e+02,1.842331732105313051e+02
2.685055174674218659e-03,3.078198985171525237e-01,1.189676850692323595e-01,3.696912420862663140e+01,8.955517871784032025e+01,1.292914482928896973e+02
1.101434743667058375e-01,2.766559408110498275e-01,6.421916690111617587e-01,1.072879932537809680e+02,2.453703155347801896e+02,2.287912932457315947e+02
1.037569724328811643e-01,2.116637970386614498e-01,3.032941370794977054e-01,4.039260698187850807e+01,2.377283951964827224e+02,2.117253229903469105e+02
5.356123708417868945e-02,2.044750285987418648e-01,1.007973549775963984e-01,1.512558032072650178e+02,1.392270980770214805e+02,1.911444583506083461e+02
4.258484941200404300e-02,3.884561253013794069e-01,4.816206182335601160e-01,1.462444989044746819e+02,8.204136401609184759e+01,1.490745042007091001e+02
2.112488026791697338e-01,2.944215003353856663e-01,6.355356283127484573e-01,2.945224057247674665e+01,9.435619432294163289e+01,2.088768326035405494e+02
5.048092581144780072e-02,2.912510727739314742e-01,4.211751938176734877e-01,1.302315199285049232e+02,2.287083684288662084e+02,1.420613960043260704e+02
6.489327202572608977e-02,3.003657549409752825e-01,2.664226436941528192e-02,1.211176032856020441e+02,2.201024519870472034e+02,1.750068384273317790e+01
1.148792552684061580e-01,2.841968386623316412e-01,7.856371102609096546e-01,1.166704356537521647e+02,1.387990194543477003e+02,1.234911940175787208e+02
4.701831996588998197e-02,2.187406884410683094e-01,7.170295082134495734e-01,1.674251424620052831e+02,1.681704190476949918e+02,5.531922030665607082e+01
2.173670472337821055e-02,3.023036208990956264e-01,5.242019721236468310e-01,1.842782955599008687e+02,1.406318810136357627e+02,2.415509968827900877e+01
1.548111432961260803e-01,2.384495559184439673e-01,1.727189048461504339e-01,1.501726724742237593e+02,1.897448526712591743e+01,1.470296654971878070e+02
1.462033472725112471e-01,2.700806451260301944e-01,4.882647557639912539e-01,1.609348953732895495e+02,1.241542941498216663e+02,2.497093034284986288e+02
2.126038252255624539e-01,3.363297971225273075e-01,7.064647926003907452e-01,1.406162521258848699e+02,8.348881419109635260e+01,1.776106494317536999e+02
2.271333629925383901e-01,2.806925619896713520e-01,4.630235554793207808e-01,3.406530508221801767e+01,2.499378810886192923e+02,1.197752879443817164e+02
1.511293639688039425e-01,3.181115726136923283e-01,4.365242395505383732e-01,6.854595020508838843e+01,4.775407910534972444e+01,2.320806915687820151e+02
1.204021742753680763e-01,3.218929299896509111e-01,6.935081699215617235e-01,2.340587107691656854e+02,2.320849693807033418e+02,1.010407654192573119e+02
1.857462622404209562e-01,2.477725464098207431e-01,4.711374858725803083e-01,2.174295482116901042e+02,2.303799461644503879e+02,1.741308372347567683e+02
3.101744541246945208e-02,2.407049564581852097e-01,7.135328312391575611e-01,9.607770162369227762e+01,5.186601371742063549e+01,2.199465108403441889e+02
1.804763499879153132e-01,2.158162984409764673e-01,3.489306924889995498e-02,1.749387743653140035e+02,1.061585962570810011e+02,8.025944240949712594e+01
2.396365253517948046e-01,2.711510427771522402e-01,7.260656590644972708e-01,1.551032090120274916e+02,2.052095392724633030e+02,1.817706352025629997e+02
1.911106962054193170e-01,3.521881998429412519e-01,1.985700368796175508e-01,5.552129287450550521e+01,2.465375310631499417e+02,1.029876647642326333e+02
1.724086672830812961e-01,3.973396494321259076e-01,4.435738372121021400e-01,1.819082178949262243e+02,5.554888679744909297e+01,1.951938608901890007e+02
1.522634383652657075e-01,3.571717284250059965e-01,6.645601407391259485e-01,1.181597390873813822e+02,2.205755707021335468e+02,6.521083513185249103e+01
1.536333060812293261e-01,2.235350349425447303e-01,2.231022221406775766e-02,4.626082151018417221e+01,2.143835991086716604e+02,9.454774609764827176e+01
9.375474342972750508e-02,2.783067526237271716e-01,7.324327378325599103e-01,1.042539986874750895e+02,2.328044251997870049e+02,3.504672550723568492e+01
2.169071158051850967e-01,3.418888944448608136e-01,7.767992380265270613e-01,1.103407612629146826e+02,1.930302789100130099e+02,2.339473406557969781e+02
1.557743446393122233e-01,3.172479004390505453e-01,1.603690127010595767e-01,4.568402665912403648e+01,1.107159940425450095e+01,3.675366951417029071e+01
2.597990748339347455e-02,3.155568487397130140e-01,3.353698634216571439e-01,2.366479998434254242e+02,6.583169888661707603e+01,2.331012281602197334e+02
3.044641347802669318e-02,2.204712064776824798e-01,2.034672667464809404e-01,1.374002204629834125e+02,2.137464234367640188e+02,2.253588873187443653e+01
2.035764211346457186e-01,3.229511783223162347e-01,1.166573937991337018e-01,1.964931747834175439e+02,1.944566556619477637e+02,2.391746399478036835e+02
1.140156221100039197e-01,3.932820173561636379e-01,3.990967655894557264e-01,1.582025842323955445e+01,1.138465211759548055e+02,3.883251153964629765e+01
1.052850977897242107e-01,2.891284864569858559e-01,5.321219527102910574e-02,2.196248765726068370e+02,1.155891877698592367e+02,1.935107457337779238e+02
1.367064330844874886e-01,3.861197561808090706e-01,2.846199959975989624e-01,4.978866707026674732e+01,1.259877500076598835e+02,2.373281762830382320e+02
4.646357133650904497e-02,3.441307370487082795e-01,7.416648173139847033e-01,7.862632186501632248e+01,1.129893635877363067e+02,2.430065759220391328e+02
2.302461410738589065e-01,2.980986871186469545e-01,5.700348849345461266e-01,1.526558450765173518e+02,5.224708716871096215e+01,8.158137320779297852e+01
1.477126512066376518e-01,2.576279930037322363e-01,4.871998788498047572e-01,6.506198164791516092e+01,1.663852564344295786e+02,1.343864743456317399e+02
1.968234318528782889e-01,2.652271409929187751e-01,2.488137223059794789e-01,9.160097583319868875e+01,2.423964133756549018e+02,2.440932189879931968e+02
7.625473535209791043e-02,3.808101015643948206e-01,4.557602633526693925e-01,1.179462421630672395e+02,2.153295328046430654e+02,1.186588972773116097e+02
1.420032316199295042e-01,3.756616902553999715e-01,6.774363192283852086e-01,1.788589482521658169e+02,2.371487682586929111e+02,2.089353677574659969e+02
1.946090520930328360e-01,2.213225738745292770e-01,5.188954448953336795e-01,5.139611445045121485e+01,2.752784512818994145e+01,7.205701388699196741e+01
1.399560660637337584e-01,3.547974580420296675e-01,7.026525614540728437e-01,1.344006190714366369e+02,1.539524347671314786e+01,4.079445102774647580e+01
1.789205191738456324e-01,3.193734876857491911e-01,3.598572684116163600e-02,2.258947346646700112e+02,1.817468279296146534e+02,8.743294868461778435e+01
3.530827575667727647e-02,3.724607083699963406e-01,2.735507013306334168e-01,9.225898187382210835e+01,2.214953385725518729e+02,2.944498004758419540e+01
7.861283469335424157e-02,2.411610862261083787e-01,7.647159009078539071e-01,2.239802974254275796e+02,7.602255871567236056e+01,2.358862700366588570e+02
8.901097020810667948e-02,3.709293338347831037e-01,2.401885700647735100e-01,2.715551155707703046e+01,2.219669256290755399e+01,1.057022558012336901e+02
3.576573836527049965e-02,2.173365827289552854e-01,3.537089661066548096e-01,4.798418402999784504e+00,1.617024796052688203e+02,1.759366773696815471e+02
6.823058394809308758e-02,3.952442340493117490e-01,6.906163686326414197e-01,3.924238655034130119e+01,1.980817445336861908e+02,8.879643736020116762e+01
6.392806117954455414e-02,2.502197930370560486e-01,7.411713995335524885e-01,2.679107641615535584e+01,2.167562318150262968e+02,1.672877087999845287e+02
2.348856767626110453e-01,2.859072968029963691e-01,1.365112601168070317e-01,1.392886261913319004e+02,1.359419294670113914e+02,1.331724596952155935e+02
6.122485712766342209e-02,2.882534512454425490e-01,3.706206081716286183e-01,7.364593747342519237e+01,1.587052581961871454e+02,2.536895503908700178e+01
2.006388398689738228e-01,3.013769296283275168e-01,2.920165579008192624e-01,1.910441147231036041e+02,7.014604760408019501e+01,2.308331220588660244e+02
